Method,leg-e_mean,leg-e_std,leg_mean,leg_std,floor-e_mean,floor-e_std,floor_mean,floor_std,goal-e_mean,goal-e_std,goal_mean,goal_std,floor-e_max,floor_max,goal_max,goal-e_max,leg_max,leg-e_max
aobgdcbp,0.5629333333333333,0.16383633455072064,0.15306666666666668,0.16459813444051408,0.45,0.1457910613070876,0.20773333333333333,0.11145858271104678,0.24120000000000005,0.12489415653092209,0.0108,0.026885788766258887,0.76,0.48,0.16,0.62,0.54,0.84
obgd,0.0156,0.04214834779058973,0.008000000000000002,0.02396865962658951,0.004933333333333333,0.03210190708476285,0.06240000000000001,0.11573911881538185,0.00013333333333333334,0.0016329931618554523,0.0,0.0,0.24,0.52,0.0,0.02,0.18,0.2
aobgd,0.6033333333333334,0.1523404288558428,0.2874666666666667,0.20842067252021992,0.5023999999999998,0.23246470468906566,0.13853333333333334,0.13521241884638716,0.15333333333333332,0.11260590342188376,0.0,0.0,0.84,0.48,0.0,0.4,0.68,0.94
