Method,leg-e_max,leg-e_mean,leg-e_std,leg_max,leg_mean,leg_std,floor-e_max,floor-e_mean,floor-e_std,floor_max,floor_mean,floor_std,goal-e_max,goal-e_mean,goal-e_std,goal_max,goal_mean,goal_std
aobgdcbp,0.84,0.5629333333333333,0.16383633455072064,0.54,0.15306666666666668,0.16459813444051408,0.76,0.45,0.1457910613070876,0.48,0.20773333333333333,0.11145858271104678,0.62,0.24120000000000005,0.12489415653092209,0.16,0.0108,0.026885788766258887
ppow,0.66,0.46533333333333343,0.07638358397958292,0.16,0.01,0.025983990941248793,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.09226666666666669,0.06798289033334831,0.02,0.00013333333333333334,0.0016329931618554523
ppo,0.76,0.38106666666666666,0.18643654719435757,0.52,0.23986666666666664,0.17809576892300785,0.26,0.037599999999999995,0.07208942991895739,0.0,0.0,0.0,0.36,0.16973333333333335,0.06441212386052576,0.02,0.0024000000000000002,0.006521003751945395
adam,0.78,0.2732,0.2763136850126184,0.04,0.0016,0.006774879327264058,0.26,0.13480000000000003,0.061339920594877355,0.0,0.0,0.0,0.46,0.2554,0.06128951003560104,0.1,0.0406,0.026278231571881975
aobgd,0.94,0.6033333333333334,0.1523404288558428,0.68,0.2874666666666667,0.20842067252021992,0.84,0.5023999999999998,0.23246470468906566,0.48,0.13853333333333334,0.13521241884638716,0.4,0.15333333333333332,0.11260590342188376,0.0,0.0,0.0
aobgdln,0.4,0.17226666666666668,0.10582464073234435,0.06,0.0024000000000000002,0.009808912534051424,0.72,0.2905333333333333,0.19166100760053387,0.1,0.0008,0.008315910197693779,0.02,0.0002666666666666667,0.0023016383620995166,0.0,0.0,0.0
obgd,0.2,0.0156,0.04214834779058973,0.18,0.008000000000000002,0.02396865962658951,0.24,0.004933333333333333,0.03210190708476285,0.52,0.06240000000000001,0.11573911881538185,0.02,0.00013333333333333334,0.0016329931618554523,0.0,0.0,0.0
