"Step","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep__MIN","AnymalC-Reach-v1_seed0_hidden_size256_lr1_gamma0.99_lamda0.8_entropy0.01 - timestep__MAX"
"37598","18645","18645","18645"
"37707","18699","18699","18699"
"38056","18872","18872","18872"
"38157","18922","18922","18922"
"38254","18970","18970","18970"
"38389","19037","19037","19037"
"38651","19167","19167","19167"
"38770","19226","19226","19226"
"39355","19516","19516","19516"
"39472","19574","19574","19574"
"39581","19628","19628","19628"
"39692","19683","19683","19683"
"39815","19744","19744","19744"
"39950","19811","19811","19811"
"40065","19868","19868","19868"
"40176","19923","19923","19923"
"40467","20067","20067","20067"
"40582","20124","20124","20124"
"40687","20176","20176","20176"
"40846","20255","20255","20255"
"40973","20318","20318","20318"
"41098","20380","20380","20380"
"41227","20444","20444","20444"
"41707","20682","20682","20682"
"41941","20798","20798","20798"
"42062","20858","20858","20858"
"42165","20909","20909","20909"
"42504","21077","21077","21077"
"42615","21132","21132","21132"
"42831","21239","21239","21239"
"42944","21295","21295","21295"
"43055","21350","21350","21350"
"43180","21412","21412","21412"
"43283","21463","21463","21463"
"43666","21653","21653","21653"
"43789","21714","21714","21714"
"43926","21782","21782","21782"
"44144","21890","21890","21890"
"44346","21990","21990","21990"
"44584","22108","22108","22108"
"44709","22170","22170","22170"
"44832","22231","22231","22231"
"44943","22286","22286","22286"
"45066","22347","22347","22347"
"45199","22413","22413","22413"
"45306","22466","22466","22466"
"45423","22524","22524","22524"
"45542","22583","22583","22583"
"45671","22647","22647","22647"
"45800","22711","22711","22711"
"46030","22825","22825","22825"
"46278","22948","22948","22948"
"46387","23002","23002","23002"
"46510","23063","23063","23063"
"46851","23232","23232","23232"
"47105","23358","23358","23358"
"47210","23410","23410","23410"
"47321","23465","23465","23465"
"47430","23519","23519","23519"
"47545","23576","23576","23576"
"47912","23758","23758","23758"
"48013","23808","23808","23808"
"48140","23871","23871","23871"
"48257","23929","23929","23929"
"48368","23984","23984","23984"
"48477","24038","24038","24038"
"48590","24094","24094","24094"
"48703","24150","24150","24150"
"48818","24207","24207","24207"
"48961","24278","24278","24278"
"49066","24330","24330","24330"
"49185","24389","24389","24389"
"49308","24450","24450","24450"
"49429","24510","24510","24510"
"49540","24565","24565","24565"
"49639","24614","24614","24614"
"49738","24663","24663","24663"
"49994","24790","24790","24790"
"50212","24898","24898","24898"
"50345","24964","24964","24964"
"50466","25024","25024","25024"
"50740","25160","25160","25160"
"50863","25221","25221","25221"
"50976","25277","25277","25277"
"51309","25442","25442","25442"
"51571","25572","25572","25572"
"51670","25621","25621","25621"
"51785","25678","25678","25678"
"52684","26125","26125","26125"
"52906","26235","26235","26235"
"53023","26293","26293","26293"
"53362","26461","26461","26461"
"53481","26520","26520","26520"
"53598","26578","26578","26578"
"53707","26632","26632","26632"
"53828","26692","26692","26692"
"54169","26861","26861","26861"
"54280","26916","26916","26916"
"54506","27028","27028","27028"
"54639","27094","27094","27094"
"54756","27152","27152","27152"
"54879","27213","27213","27213"
"55004","27275","27275","27275"
"55119","27332","27332","27332"
"55236","27390","27390","27390"
"55470","27506","27506","27506"
"55589","27565","27565","27565"
"55722","27631","27631","27631"
"56079","27809","27809","27809"
"56176","27857","27857","27857"
"56808","28170","28170","28170"
"56925","28228","28228","28228"
"57758","28641","28641","28641"
"57881","28702","28702","28702"
"57988","28755","28755","28755"
"58095","28808","28808","28808"
"58220","28870","28870","28870"
"58335","28927","28927","28927"
"58569","29043","29043","29043"
"58811","29163","29163","29163"
"59035","29274","29274","29274"
"59257","29384","29384","29384"
"59376","29443","29443","29443"
"59626","29567","29567","29567"
"59733","29620","29620","29620"
"59971","29738","29738","29738"
"60205","29854","29854","29854"
"60619","30059","30059","30059"
"60970","30233","30233","30233"
"61093","30294","30294","30294"
"61210","30352","30352","30352"
"61311","30402","30402","30402"
"61440","30466","30466","30466"
"61559","30525","30525","30525"
"61672","30581","30581","30581"
"61799","30644","30644","30644"
"61926","30707","30707","30707"
"62045","30766","30766","30766"
"62162","30824","30824","30824"
"62289","30887","30887","30887"
"62535","31009","31009","31009"
"62781","31131","31131","31131"
"62892","31186","31186","31186"
"63013","31246","31246","31246"
"63120","31299","31299","31299"
"63237","31357","31357","31357"
"63346","31411","31411","31411"
"63606","31540","31540","31540"
"63723","31598","31598","31598"
"63935","31703","31703","31703"
"64056","31763","31763","31763"
"64169","31819","31819","31819"
"64280","31874","31874","31874"
"64625","32045","32045","32045"
"64732","32098","32098","32098"
"64861","32162","32162","32162"
"64978","32220","32220","32220"
"65133","32297","32297","32297"
"65262","32361","32361","32361"
"65504","32481","32481","32481"
"65857","32656","32656","32656"
"65962","32708","32708","32708"
"66071","32762","32762","32762"
"66527","32988","32988","32988"
"66660","33054","33054","33054"
"66785","33116","33116","33116"
"67033","33239","33239","33239"
"67146","33295","33295","33295"
"67388","33415","33415","33415"
"67491","33466","33466","33466"
"67614","33527","33527","33527"
"67832","33635","33635","33635"
"67945","33691","33691","33691"
"68272","33853","33853","33853"
"68401","33917","33917","33917"
"68629","34030","34030","34030"
"68750","34090","34090","34090"
"68962","34195","34195","34195"
"69200","34313","34313","34313"
"69335","34380","34380","34380"
"69771","34596","34596","34596"
"69896","34658","34658","34658"
"70132","34775","34775","34775"
"70239","34828","34828","34828"
"70362","34889","34889","34889"
"70465","34940","34940","34940"
"70711","35062","35062","35062"
"70844","35128","35128","35128"
"70969","35190","35190","35190"
"71090","35250","35250","35250"
"71324","35366","35366","35366"
"71435","35421","35421","35421"
"71780","35592","35592","35592"
"71931","35667","35667","35667"
"72280","35840","35840","35840"
"72403","35901","35901","35901"
"72548","35973","35973","35973"
"72655","36026","36026","36026"
"72758","36077","36077","36077"
"72867","36131","36131","36131"
"72978","36186","36186","36186"
"73077","36235","36235","36235"
"73212","36302","36302","36302"
"73341","36366","36366","36366"
"73462","36426","36426","36426"
"73569","36479","36479","36479"
"73702","36545","36545","36545"
"73833","36610","36610","36610"
"74523","36952","36952","36952"
"74646","37013","37013","37013"
"74765","37072","37072","37072"
"74892","37135","37135","37135"
"75356","37365","37365","37365"
"75457","37415","37415","37415"
"75574","37473","37473","37473"
"75701","37536","37536","37536"
"75808","37589","37589","37589"
"75919","37644","37644","37644"
"76040","37704","37704","37704"
"76157","37762","37762","37762"
"76264","37815","37815","37815"
"76385","37875","37875","37875"
"76595","37979","37979","37979"
"76696","38029","38029","38029"
"76827","38094","38094","38094"
"76946","38153","38153","38153"
"77186","38272","38272","38272"
"77432","38394","38394","38394"
"77539","38447","38447","38447"
"77640","38497","38497","38497"
"77745","38549","38549","38549"
"78108","38729","38729","38729"
"78251","38800","38800","38800"
"78370","38859","38859","38859"
"78475","38911","38911","38911"
"78703","39024","39024","39024"
"78826","39085","39085","39085"
"78931","39137","39137","39137"
"79052","39197","39197","39197"
"79165","39253","39253","39253"
"79278","39309","39309","39309"
"79637","39487","39487","39487"
"79758","39547","39547","39547"
"79885","39610","39610","39610"
"80109","39721","39721","39721"
"80228","39780","39780","39780"
"80555","39942","39942","39942"
"80906","40116","40116","40116"
"81027","40176","40176","40176"
"81251","40287","40287","40287"
"81364","40343","40343","40343"
"81489","40405","40405","40405"
"81604","40462","40462","40462"
"81721","40520","40520","40520"
"81838","40578","40578","40578"
"81959","40638","40638","40638"
"82162","40739","40739","40739"
"82747","41029","41029","41029"
"82888","41099","41099","41099"
"83011","41160","41160","41160"
"83247","41277","41277","41277"
"83352","41329","41329","41329"
"83594","41449","41449","41449"
"83824","41563","41563","41563"
"84171","41735","41735","41735"
"84302","41800","41800","41800"
"84435","41866","41866","41866"
"84782","42038","42038","42038"
"84901","42097","42097","42097"
"85040","42166","42166","42166"
"85165","42228","42228","42228"
"85752","42519","42519","42519"
"85859","42572","42572","42572"
"85964","42624","42624","42624"
"86089","42686","42686","42686"
"86422","42851","42851","42851"
"86660","42969","42969","42969"
"87160","43217","43217","43217"
"87265","43269","43269","43269"
"87392","43332","43332","43332"
"87735","43502","43502","43502"
"87854","43561","43561","43561"
"87965","43616","43616","43616"
"88076","43671","43671","43671"
"88201","43733","43733","43733"
"88310","43787","43787","43787"
"88530","43896","43896","43896"
"88649","43955","43955","43955"
"88867","44063","44063","44063"
"88990","44124","44124","44124"
"89222","44239","44239","44239"
"89333","44294","44294","44294"
"89565","44409","44409","44409"
"89676","44464","44464","44464"
"89821","44536","44536","44536"
"89934","44592","44592","44592"
"90162","44705","44705","44705"
"90269","44758","44758","44758"
"90368","44807","44807","44807"
"90802","45022","45022","45022"
"90917","45079","45079","45079"
"91036","45138","45138","45138"
"91282","45260","45260","45260"
"91397","45317","45317","45317"
"91494","45365","45365","45365"
"91627","45431","45431","45431"
"91766","45500","45500","45500"
"91897","45565","45565","45565"
"92236","45733","45733","45733"
"92357","45793","45793","45793"
"92589","45908","45908","45908"
"92819","46022","46022","46022"
"92926","46075","46075","46075"
"93057","46140","46140","46140"
"93166","46194","46194","46194"
"93620","46419","46419","46419"
"93856","46536","46536","46536"
"94086","46650","46650","46650"
"94415","46813","46813","46813"
"94542","46876","46876","46876"
"94649","46929","46929","46929"
"94766","46987","46987","46987"
"95006","47106","47106","47106"
"95490","47346","47346","47346"
"95617","47409","47409","47409"
"95726","47463","47463","47463"
"95847","47523","47523","47523"
"95972","47585","47585","47585"
"96077","47637","47637","47637"
"96295","47745","47745","47745"
"96416","47805","47805","47805"
"96519","47856","47856","47856"
"96729","47960","47960","47960"
"96848","48019","48019","48019"
"97082","48135","48135","48135"
"97203","48195","48195","48195"
"97441","48313","48313","48313"
"97560","48372","48372","48372"
"97679","48431","48431","48431"
"97911","48546","48546","48546"
"98034","48607","48607","48607"
"98155","48667","48667","48667"
"98258","48718","48718","48718"
"98498","48837","48837","48837"
"98629","48902","48902","48902"
"98839","49006","49006","49006"
"98954","49063","49063","49063"
"99301","49235","49235","49235"
"99547","49357","49357","49357"
"99771","49468","49468","49468"
"99894","49529","49529","49529"
"100001","49582","49582","49582"
"100235","49698","49698","49698"
"100344","49752","49752","49752"
"100485","49822","49822","49822"
"100588","49873","49873","49873"
"100715","49936","49936","49936"
"100948","50051","50051","50051"
"101057","50105","50105","50105"
"101279","50215","50215","50215"
"101404","50277","50277","50277"
"102132","50638","50638","50638"
"102251","50697","50697","50697"
"102358","50750","50750","50750"
"102610","50875","50875","50875"
"102739","50939","50939","50939"
"102866","51002","51002","51002"
"102973","51055","51055","51055"
"103090","51113","51113","51113"
"103322","51228","51228","51228"
"103445","51289","51289","51289"
"103578","51355","51355","51355"
"103939","51534","51534","51534"
"104062","51595","51595","51595"
"104197","51662","51662","51662"
"104312","51719","51719","51719"
"104433","51779","51779","51779"
"104560","51842","51842","51842"
"104683","51903","51903","51903"
"104802","51962","51962","51962"
"105758","52436","52436","52436"
"105881","52497","52497","52497"
"106014","52563","52563","52563"
"106482","52795","52795","52795"
"106587","52847","52847","52847"
"106710","52908","52908","52908"
"106962","53033","53033","53033"
"107073","53088","53088","53088"
"107293","53197","53197","53197"
"107414","53257","53257","53257"
"107533","53316","53316","53316"
"107793","53445","53445","53445"
"108146","53620","53620","53620"
"108271","53682","53682","53682"
"108497","53794","53794","53794"
"108729","53909","53909","53909"
"108834","53961","53961","53961"
"108965","54026","54026","54026"
"109064","54075","54075","54075"
"109195","54140","54140","54140"
"109318","54201","54201","54201"
"109423","54253","54253","54253"
"109802","54441","54441","54441"
"109907","54493","54493","54493"
"110147","54612","54612","54612"
"110262","54669","54669","54669"
"110397","54736","54736","54736"
"110653","54863","54863","54863"
"111111","55090","55090","55090"
"111218","55143","55143","55143"
"111323","55195","55195","55195"
"111446","55256","55256","55256"
"111561","55313","55313","55313"
"111686","55375","55375","55375"
"112025","55543","55543","55543"
"112140","55600","55600","55600"
"112265","55662","55662","55662"
"112368","55713","55713","55713"
"112699","55877","55877","55877"
"113074","56063","56063","56063"
"113405","56227","56227","56227"
"113611","56329","56329","56329"
"113718","56382","56382","56382"
"113841","56443","56443","56443"
"113970","56507","56507","56507"
"114186","56614","56614","56614"
"114303","56672","56672","56672"
"114519","56779","56779","56779"
"114644","56841","56841","56841"
"115005","57020","57020","57020"
"115114","57074","57074","57074"
"115245","57139","57139","57139"
"115362","57197","57197","57197"
"115473","57252","57252","57252"
"115608","57319","57319","57319"
"115719","57374","57374","57374"
"116419","57721","57721","57721"
"116820","57921","57921","57921"
"117427","58222","58222","58222"
"117566","58291","58291","58291"
"117699","58357","58357","58357"
"117824","58419","58419","58419"
"118080","58546","58546","58546"
"118193","58602","58602","58602"
"118330","58670","58670","58670"
"118723","58865","58865","58865"
"118842","58924","58924","58924"
"118963","58984","58984","58984"
"119084","59044","59044","59044"
"119201","59102","59102","59102"
"119443","59222","59222","59222"
"119546","59273","59273","59273"
"119673","59336","59336","59336"
"119917","59457","59457","59457"
"120038","59517","59517","59517"
"120161","59578","59578","59578"
"120296","59645","59645","59645"
"120403","59698","59698","59698"
"120653","59822","59822","59822"
"121131","60059","60059","60059"
"121246","60116","60116","60116"
"121365","60175","60175","60175"
"121651","60317","60317","60317"
"121758","60370","60370","60370"
"121879","60430","60430","60430"
"121990","60485","60485","60485"
"122107","60543","60543","60543"
"122214","60596","60596","60596"
"122355","60666","60666","60666"
"122603","60789","60789","60789"
"122833","60903","60903","60903"
"123053","61012","61012","61012"
"123162","61066","61066","61066"
"123293","61131","61131","61131"
"123416","61192","61192","61192"
"123549","61258","61258","61258"
"123694","61330","61330","61330"
"123817","61391","61391","61391"
"123926","61445","61445","61445"
"124049","61506","61506","61506"
"124184","61573","61573","61573"
"124291","61626","61626","61626"
"124434","61697","61697","61697"
"124958","61958","61958","61958"
"125301","62128","62128","62128"
"125424","62189","62189","62189"
"125543","62248","62248","62248"
"125692","62322","62322","62322"
"125809","62380","62380","62380"
"126043","62496","62496","62496"
"126910","62926","62926","62926"
"127051","62996","62996","62996"
